51	51	242	211.97	76.2	-2.2	211.97	76.2	-1.7	9350000	2977.5	2977.5	0.01	0	0	5
52	52	245	219.47	76.2	-2.2	219.47	76.2	-1.7	6225000	2086.7	2086.7	0.01	0	0	4
53	53	255	54.35	76.43	-2.2	54.35	76.43	-1.7	9350000	2586.3	2586.3	0.01	0	0	5
54	54	284	93.75	76.65	-2.2	93.75	76.65	-1.7	6225000	2017.2	2017.2	0.01	0	0	4
55	298	841	0	0	-0.5	0	0	0	6225000	1253.3	1253.3	0.01	0	0	4
56	299	842	3.72	0	-0.5	3.72	0	0	4400000	1037	1037	0.01	0	0	3
57	300	843	7.45	0	-0.5	7.45	0	0	6225000	1698.9	1698.9	0.01	0	0	4
58	301	846	13.97	0	-0.5	13.97	0	0	4400000	1107.7	1107.7	0.01	0	0	3
59	302	848	20.6	0	-0.5	20.6	0	0	2875000	888.4	888.4	0.01	0	0	2
60	303	849	24.35	0	-0.5	24.35	0	0	6225000	1863.8	1863.8	0.01	0	0	4
61	304	851	31.85	0	-0.5	31.85	0	0	1275000	474.2	474.2	0.01	0	0	1
62	305	853	39.35	0	-0.5	39.35	0	0	1275000	467.1	467.1	0.01	0	0	1
63	306	855	46.85	0	-0.5	46.85	0	0	6225000	1275	1275	0.01	0	0	4
64	307	856	50.6	0	-0.5	50.6	0	0	4400000	1023.6	1023.6	0.01	0	0	3
65	308	857	54.35	0	-0.5	54.35	0	0	6225000	1636.5	1636.5	0.01	0	0	4
66	309	860	60.82	0	-0.5	60.82	0	0	4400000	1049.8	1049.8	0.01	0	0	3
67	310	862	67.5	0	-0.5	67.5	0	0	2875000	855.6	855.6	0.01	0	0	2
68	311	864	71.6	0	-0.5	71.6	0	0	6225000	1690.5	1690.5	0.01	0	0	4
69	312	867	78.75	0	-0.5	78.75	0	0	1275000	456.2	456.2	0.01	0	0	1
70	313	869	86.25	0	-0.5	86.25	0	0	1275000	475.5	475.5	0.01	0	0	1
71	314	871	93.75	0	-0.5	93.75	0	0	6225000	1407.4	1407.4	0.01	0	0	4
72	315	872	97.5	0	-0.5	97.5	0	0	4400000	1084	1084	0.01	0	0	3
73	316	873	101.25	0	-0.5	101.25	0	0	6225000	1697.4	1697.4	0.01	0	0	4
74	317	876	107.72	0	-0.5	107.72	0	0	4400000	1061.1	1061.1	0.01	0	0	3
75	318	878	113.93	0	-0.5	113.93	0	0	4400000	1046	1046	0.01	0	0	3
76	319	880	118.15	0	-0.5	118.15	0	0	6225000	1849	1849	0.01	0	0	4
77	320	882	125.65	0	-0.5	125.65	0	0	1275000	498.1	498.1	0.01	0	0	1
